OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
450,2012/06/23,81-7,0.15,0.13,0.11
451,2012/06/27,81-9,0.13,0.13,0.1
452,2012/07/05,81-12,0.17,0.16,0.13
453,2012/07/08,81-13,0.23,0.21,0.17
454,2012/07/13,81-15,0.16,0.17,0.14
455,2012/06/07,82-1,0.19,0.18,0.16
456,2012/07/17,82-2,0.2,0.23,0.21
457,2012/06/12,82-3,0.22,0.23,0.21
458,2012/06/15,82-4,0.28,0.25,0.23
459,2012/06/17,82-5,0.3,0.32,0.3
460,2012/06/22,82-6,0.18,0.21,0.19
461,2012/06/23,82-7,0.26,0.29,0.27
462,2012/06/25,82-8,0.21,0.22,0.2
463,2012/06/27,82-9,0.17,0.16,0.14
464,2012/06/29,82-10,0.27,0.24,0.22
465,2012/07/03,82-11,0.16,0.14,0.13
466,2012/07/05,82-12,0.27,0.31,0.28
467,2012/07/08,82-13,0.41,0.34,0.31
468,2012/07/10,82-14,0.21,0.22,0.2
469,2012/07/13,82-15,0.21,0.21,0.2
470,2012/07/14,82-16,0.26,0.25,0.23
471,2012/06/07,83-1,0.22,0.19,0.19
472,2012/07/17,83-2,0.17,0.18,0.18
473,2012/06/12,83-3,0.27,0.25,0.22
474,2012/06/15,83-4,0.22,0.21,0.18
475,2012/06/17,83-5,0.19,0.2,0.18
476,2012/06/22,83-6,0.26,0.27,0.24
477,2012/06/23,83-7,0.27,0.3,0.3
478,2012/06/25,83-8,0.23,0.25,0.25
479,2012/06/29,83-10,0.21,0.2,0.2
480,2012/07/03,83-11,0.09,0.1,0.1
481,2012/07/05,83-12,0.28,0.25,0.25
482,2012/07/08,83-13,0.35,0.28,0.28
483,2012/07/13,83-15,0.1,0.1,0.09
484,2012/07/14,83-16,0.09,0.09,0.08
485,2012/06/07,84-1,0.04,0.04,0.03
486,2012/07/17,84-2,0.16,0.16,0.13
487,2012/06/12,84-3,0.34,0.31,0.25
488,2012/06/15,84-4,0.19,0.19,0.16
489,2012/06/17,84-5,0.22,0.23,0.19
490,2012/06/22,84-6,0.21,0.23,0.19
491,2012/06/23,84-7,0.25,0.24,0.19
492,2012/06/25,84-8,0.21,0.28,0.23
493,2012/06/27,84-9,0.12,0.12,0.1
494,2012/07/03,84-11,0.1,0.1,0.08
495,2012/07/05,84-12,0.29,0.27,0.22
496,2012/07/08,84-13,0.36,0.32,0.26
497,2012/07/10,84-14,0.22,0.21,0.17
498,2012/07/13,84-15,0.18,0.2,0.16
